sample_number,sample_date,sample_time,sample_site,sample_class,residual_free_chlorine_mg_l,turbidity_ntu,coliform_quanti_tray_mpn_100ml,e_coli_quanti_tray_mpn_100ml,fluoride_mg_l
202426290,2024-10-03T00:00:00.000,09:27:00.000,3ISL3,Operational,0.43,0.47,0,0,
202426304,2024-10-03T00:00:00.000,08:25:00.000,45050,Compliance,0.52,0.48,0,0,
202426268,2024-10-03T00:00:00.000,08:39:00.000,14000,Operational,0.88,0.54,0,0,
202426460,2024-10-03T00:00:00.000,10:40:00.000,21450,Compliance,0.47,0.52,0,0,
202426273,2024-10-03T00:00:00.000,10:01:00.000,3SC26,Operational,0.53,0.13,0,0,
202426291,2024-10-03T00:00:00.000,08:57:00.000,3ISL4,Operational,0.47,0.58,0,0,
202426316,2024-10-03T00:00:00.000,11:22:00.000,50200,Operational,0.59,0.63,0,0,
202426317,2024-10-03T00:00:00.000,10:50:00.000,50300,Operational,0.73,0.55,0,0,
202426319,2024-10-03T00:00:00.000,10:04:00.000,52000,Operational,0.64,0.52,0,0,
202426318,2024-10-03T00:00:00.000,10:24:00.000,51350,Compliance,0.36,0.44,0,0,
202426320,2024-10-03T00:00:00.000,09:33:00.000,52450,Compliance,0.52,0.48,0,0,
202426321,2024-10-03T00:00:00.000,09:05:00.000,58150,Compliance,0.63,0.67,0,0,
202426306,2024-10-03T00:00:00.000,09:30:00.000,76750,Compliance,0.56,0.49,0,0,
202426305,2024-10-03T00:00:00.000,10:18:00.000,45650,Compliance,0.56,0.59,0,0,
202426295,2024-10-03T00:00:00.000,10:08:00.000,4ISL5,Operational,0.62,0.57,0,0,
202426391,2024-10-04T00:00:00.000,09:50:00.000,12550,Compliance,0.74,0.13,0,0,
202426429,2024-10-04T00:00:00.000,08:28:00.000,14950,Compliance,0.4,0.2,0,0,
202426430,2024-10-04T00:00:00.000,11:44:00.000,18800,Operational,0.8,0.74,0,0,
202426408,2024-10-04T00:00:00.000,10:07:00.000,1S03,Operational,0.69,0.52,0,0,0.77
202426392,2024-10-04T00:00:00.000,08:46:00.000,1S03A,Operational,0.91,0.72,0,0,0.76
202426393,2024-10-04T00:00:00.000,09:14:00.000,1S03B,Operational,0.69,0.23,0,0,0.63
202426431,2024-10-04T00:00:00.000,08:57:00.000,1S07,Operational,0.63,0.48,0,0,
202426409,2024-10-04T00:00:00.000,10:33:00.000,1SCH3,Operational,0.75,0.11,0,0,0.74
202426307,2024-10-03T00:00:00.000,08:53:00.000,79050,Compliance,0.24,0.46,0,0,
202426467,2024-10-04T00:00:00.000,11:11:00.000,11150,Compliance,0.62,0.52,0,0,
202426390,2024-10-04T00:00:00.000,08:11:00.000,11450,Compliance,0.61,0.26,0,0,
202426424,2024-10-04T00:00:00.000,10:51:00.000,22350,Compliance,0.51,0.5,0,0,
202426416,2024-10-04T00:00:00.000,09:01:00.000,25050,Compliance,0.44,0.55,0,0,
202426417,2024-10-04T00:00:00.000,11:46:00.000,25450,Compliance,0.44,0.6,0,0,
202426418,2024-10-04T00:00:00.000,09:36:00.000,25900,Operational,0.51,0.58,0,0,
202426419,2024-10-04T00:00:00.000,08:34:00.000,26300,Operational,0.46,0.67,0,0,
202426425,2024-10-04T00:00:00.000,09:03:00.000,27000,Operational,0.61,0.67,0,0,
202426411,2024-10-04T00:00:00.000,10:42:00.000,1SCL1,Operational,0.87,0.15,0,0,0.63
202426396,2024-10-04T00:00:00.000,07:47:00.000,32750,Compliance,0.23,0.36,0,0,
202426432,2024-10-04T00:00:00.000,10:18:00.000,33150,Compliance,0.56,0.15,0,0,
202426397,2024-10-04T00:00:00.000,08:23:00.000,33850,Compliance,0.22,0.34,0,0,
202426398,2024-10-04T00:00:00.000,09:37:00.000,36500,Operational,0.42,0.37,0,0,
202426399,2024-10-04T00:00:00.000,10:02:00.000,36600,Operational,0.37,0.41,0,0,
202426400,2024-10-04T00:00:00.000,08:50:00.000,39800,Operational,0.41,0.38,0,0,
202426433,2024-10-04T00:00:00.000,09:38:00.000,3SC26,Operational,0.78,0.12,0,0,
202426394,2024-10-04T00:00:00.000,10:36:00.000,40200,Operational,0.88,0.74,0,0,
202426420,2024-10-04T00:00:00.000,10:03:00.000,28450,Compliance,0.41,0.53,0,0,
202426421,2024-10-04T00:00:00.000,10:35:00.000,28550,Compliance,0.52,0.64,0,0,
202426395,2024-10-04T00:00:00.000,10:28:00.000,30450,Compliance,0.29,0.89,0,0,
202426402,2024-10-04T00:00:00.000,10:53:00.000,43050,Compliance,0.51,0.57,0,0,
202426404,2024-10-04T00:00:00.000,10:16:00.000,45750,Compliance,0.47,0.57,0,0,
202426422,2024-10-04T00:00:00.000,10:16:00.000,20350,Compliance,0.37,0.52,0,0,
202426423,2024-10-04T00:00:00.000,09:48:00.000,20900,Operational,0.62,0.53,0,0,
202426257,2024-10-03T00:00:00.000,08:32:00.000,30050,Compliance,0.34,0.27,0,0,
202426259,2024-10-03T00:00:00.000,09:07:00.000,32950,Compliance,0.31,0.32,0,0,
202426545,2024-10-05T00:00:00.000,10:33:00.000,16650,Compliance,0.79,0.94,0,0,
202426468,2024-10-05T00:00:00.000,09:10:00.000,12250,Compliance,0.51,0.28,0,0,
202426472,2024-10-05T00:00:00.000,10:47:00.000,1S03,Operational,0.73,0.73,0,0,0.74
202426375,2024-10-04T00:00:00.000,08:53:00.000,51550,Compliance,0.12,0.38,0,0,
202426376,2024-10-04T00:00:00.000,09:50:00.000,52550,Compliance,0.43,0.62,0,0,
202426406,2024-10-04T00:00:00.000,09:44:00.000,77350,Compliance,0.35,0.55,0,0,
202426377,2024-10-04T00:00:00.000,10:22:00.000,56400,Operational,0.55,0.53,0,0,
202426497,2024-10-05T00:00:00.000,10:01:00.000,11050,Compliance,0.58,0.49,0,0,
202426378,2024-10-04T00:00:00.000,09:22:00.000,58300,Operational,0.49,0.56,0,0,
202426511,2024-10-05T00:00:00.000,10:24:00.000,21250,Compliance,0.42,0.73,0,0,
202426512,2024-10-05T00:00:00.000,08:18:00.000,21650,Compliance,0.23,0.47,0,0,
202426513,2024-10-05T00:00:00.000,09:29:00.000,23150,Compliance,0.54,0.77,0,0,
202426514,2024-10-05T00:00:00.000,08:52:00.000,23250,Compliance,0.52,0.62,0,0,
202426473,2024-10-05T00:00:00.000,09:35:00.000,1S03A,Operational,0.83,0.76,0,0,0.74
202426469,2024-10-05T00:00:00.000,08:04:00.000,14850,Compliance,0.63,0.81,0,0,
202426504,2024-10-05T00:00:00.000,07:29:00.000,35650,Compliance,0.3,0.46,0,0,
202426517,2024-10-05T00:00:00.000,10:08:00.000,1S03B,Operational,0.56,0.32,0,0,0.6
202426499,2024-10-05T00:00:00.000,09:36:00.000,1S07,Operational,0.63,0.75,0,0,
202426491,2024-10-05T00:00:00.000,10:36:00.000,23750,Compliance,0.46,0.68,0,0,
202426474,2024-10-05T00:00:00.000,11:11:00.000,1SCH3,Operational,0.64,0.25,0,0,0.68
202426470,2024-10-05T00:00:00.000,08:37:00.000,16950,Compliance,0.54,0.51,0,0,
202426405,2024-10-04T00:00:00.000,08:29:00.000,48700,Operational,0.2,0.49,0,0,
202426373,2024-10-04T00:00:00.000,10:41:00.000,50200,Operational,0.35,0.41,0,0,
202426168,2024-10-02T00:00:00.000,11:33:00.000,23350,Compliance,0.49,0.48,0,0,
202426169,2024-10-02T00:00:00.000,10:03:00.000,23650,Compliance,0.4,0.53,0,0,
202426492,2024-10-05T00:00:00.000,10:17:00.000,24050,Compliance,0.31,0.58,0,0,
202426475,2024-10-05T00:00:00.000,11:19:00.000,1SCL1,Operational,0.93,0.25,0,0,0.6
202426510,2024-10-05T00:00:00.000,07:46:00.000,20900,Operational,0.53,0.52,0,0,
202426480,2024-10-05T00:00:00.000,09:34:00.000,47750,Compliance,0.3,0.77,0,0,
202426493,2024-10-05T00:00:00.000,09:20:00.000,50200,Operational,0.44,0.67,0,0,
202426494,2024-10-05T00:00:00.000,09:39:00.000,50300,Operational,0.61,0.8,0,0,
202426516,2024-10-05T00:00:00.000,11:36:00.000,40200,Operational,0.85,0.85,0,0,
202426502,2024-10-05T00:00:00.000,07:54:00.000,33250,Compliance,0.23,0.52,0,0,
202426501,2024-10-05T00:00:00.000,07:06:00.000,32850,Compliance,0.34,0.39,0,0,
202426476,2024-10-05T00:00:00.000,07:50:00.000,41250,Compliance,0.59,0.94,0,0,
202426500,2024-10-05T00:00:00.000,08:21:00.000,30850,Compliance,0.7,0.24,0,0,
202426582,2024-10-06T00:00:00.000,09:46:00.000,18750,Compliance,0.56,0.44,0,0,
202426505,2024-10-05T00:00:00.000,09:14:00.000,3SC26,Operational,0.78,0.27,0,0,
202426584,2024-10-06T00:00:00.000,08:38:00.000,1S03,Operational,0.61,0.68,0,0,0.75
202426585,2024-10-06T00:00:00.000,11:21:00.000,1S03A,Operational,0.8,0.72,0,0,0.74
202426477,2024-10-05T00:00:00.000,08:18:00.000,41750,Compliance,0.2,0.86,0,0,
202426578,2024-10-06T00:00:00.000,10:22:00.000,1S03B,Operational,0.58,0.2,0,0,0.6
202426426,2024-10-04T00:00:00.000,08:26:00.000,40450,Compliance,0.22,0.49,0,0,
202426478,2024-10-05T00:00:00.000,11:04:00.000,42850,Compliance,0.53,0.88,0,0,
202426496,2024-10-05T00:00:00.000,09:02:00.000,51950,Compliance,0.57,0.6,0,0,
202426503,2024-10-05T00:00:00.000,08:49:00.000,34950,Compliance,0.5,0.54,0,0,
202426515,2024-10-05T00:00:00.000,10:53:00.000,27000,Operational,0.67,0.77,0,0,
202426479,2024-10-05T00:00:00.000,08:47:00.000,44550,Compliance,0.14,0.63,0,0,
202426401,2024-10-04T00:00:00.000,11:37:00.000,41550,Compliance,0.58,0.83,0,0,
202426587,2024-10-06T00:00:00.000,09:09:00.000,1SCL1,Operational,0.87,0.16,0,0,0.62
202426558,2024-10-06T00:00:00.000,08:25:00.000,20900,Operational,0.46,0.47,0,0,
202426565,2024-10-06T00:00:00.000,09:20:00.000,22550,Compliance,0.45,0.6,0,0,
202426559,2024-10-06T00:00:00.000,11:05:00.000,24850,Compliance,0.22,0.56,0,0,
202426560,2024-10-06T00:00:00.000,10:34:00.000,25350,Compliance,0.39,0.58,0,0,
202426561,2024-10-06T00:00:00.000,09:12:00.000,25550,Compliance,0.43,0.53,0,0,
202426562,2024-10-06T00:00:00.000,08:49:00.000,26550,Compliance,0.46,0.5,0,0,
202426580,2024-10-06T00:00:00.000,08:10:00.000,13150,Compliance,0.61,0.19,0,0,
202426551,2024-10-06T00:00:00.000,11:17:00.000,1S07,Operational,0.54,0.63,0,0,
202426586,2024-10-06T00:00:00.000,09:02:00.000,1SCH3,Operational,0.73,0.13,0,0,0.69
202426550,2024-10-06T00:00:00.000,11:50:00.000,14450,Compliance,0.54,0.67,0,0,
202426581,2024-10-06T00:00:00.000,10:58:00.000,16450,Compliance,0.78,0.75,0,0,
202426554,2024-10-06T00:00:00.000,09:48:00.000,32050,Compliance,0.35,0.4,0,0,
202426555,2024-10-06T00:00:00.000,07:54:00.000,34350,Compliance,0.43,0.48,0,0,
202426556,2024-10-06T00:00:00.000,09:10:00.000,35450,Compliance,0.6,0.17,0,0,
202426557,2024-10-06T00:00:00.000,10:51:00.000,3SC26,Operational,0.86,0.14,0,0,
202426571,2024-10-06T00:00:00.000,11:15:00.000,40200,Operational,0.82,0.69,0,0,
202426575,2024-10-06T00:00:00.000,07:52:00.000,45850,Compliance,0.38,0.55,0,0,
202426574,2024-10-06T00:00:00.000,11:41:00.000,44150,Compliance,0.39,0.57,0,0,
202426563,2024-10-06T00:00:00.000,07:52:00.000,27000,Operational,0.6,0.66,0,0,
202426564,2024-10-06T00:00:00.000,09:45:00.000,28950,Compliance,0.21,0.52,0,0,
202426552,2024-10-06T00:00:00.000,10:22:00.000,30750,Compliance,0.69,0.14,0,0,
202426481,2024-10-05T00:00:00.000,10:39:00.000,76950,Compliance,0.52,0.7,0,0,
202426553,2024-10-06T00:00:00.000,08:22:00.000,31350,Compliance,0.29,0.32,0,0,
202426572,2024-10-06T00:00:00.000,09:26:00.000,41950,Compliance,0.47,0.58,0,0,
202426568,2024-10-06T00:00:00.000,10:45:00.000,50300,Operational,0.68,0.69,0,0,
202426637,2024-10-07T00:00:00.000,09:06:00.000,1S03,Operational,0.76,0.63,0,0,0.74
202426659,2024-10-07T00:00:00.000,09:39:00.000,1S03A,Operational,0.85,0.81,0,0,0.73
202426577,2024-10-06T00:00:00.000,08:37:00.000,77550,Compliance,0.09,0.57,0,0,
202426569,2024-10-06T00:00:00.000,11:55:00.000,52350,Compliance,0.16,0.53,0,0,
202426570,2024-10-06T00:00:00.000,11:15:00.000,58850,Compliance,0.59,0.66,0,0,
202426625,2024-10-07T00:00:00.000,11:52:00.000,18300,Operational,0.12,0.51,0,0,
202426658,2024-10-07T00:00:00.000,08:31:00.000,18650,Compliance,0.49,0.42,0,0,
202426566,2024-10-06T00:00:00.000,09:55:00.000,50050,Compliance,0.13,0.46,0,0,
202426576,2024-10-06T00:00:00.000,09:54:00.000,46450,Compliance,0.59,0.61,0,0,
202426567,2024-10-06T00:00:00.000,10:30:00.000,50200,Operational,0.43,0.51,0,0,
202426647,2024-10-07T00:00:00.000,10:11:00.000,20850,Compliance,0.66,0.66,0,0,
202426573,2024-10-06T00:00:00.000,10:29:00.000,43550,Compliance,0.29,0.56,0,0,
202426648,2024-10-07T00:00:00.000,12:43:00.000,20900,Operational,0.57,0.55,0,0,
202426641,2024-10-07T00:00:00.000,11:35:00.000,22600,Operational,0.48,0.57,0,0,
202426495,2024-10-05T00:00:00.000,08:27:00.000,51250,Compliance,0.41,0.61,0,0,
202426622,2024-10-07T00:00:00.000,10:19:00.000,14200,Operational,0.72,0.73,0,0,
202426623,2024-10-07T00:00:00.000,11:00:00.000,14650,Compliance,0.52,0.61,0,0,
202426624,2024-10-07T00:00:00.000,09:47:00.000,15150,Compliance,0.58,0.32,0,0,
202426657,2024-10-07T00:00:00.000,09:08:00.000,17250,Compliance,0.4,0.22,0,0,
202426818,2024-10-07T00:00:00.000,10:04:00.000,23450,Compliance,0.23,0.59,0,0,
202426644,2024-10-07T00:00:00.000,08:44:00.000,23950,Compliance,0.18,0.56,0,0,
202426645,2024-10-07T00:00:00.000,12:07:00.000,24250,Compliance,0.55,0.65,0,0,
202426651,2024-10-07T00:00:00.000,10:53:00.000,27000,Operational,0.7,0.66,0,0,
202426669,2024-10-07T00:00:00.000,10:17:00.000,31750,Compliance,0.41,0.5,0,0,
202426670,2024-10-07T00:00:00.000,09:46:00.000,31850,Compliance,0.3,0.32,0,0,
202426671,2024-10-07T00:00:00.000,11:04:00.000,33450,Compliance,0.69,0.17,0,0,
202426672,2024-10-07T00:00:00.000,11:32:00.000,33950,Compliance,0.55,0.19,0,0,
202426482,2024-10-05T00:00:00.000,10:06:00.000,77150,Compliance,0.08,0.56,0,0,
202426626,2024-10-07T00:00:00.000,08:33:00.000,1S07,Operational,0.62,0.59,0,0,
202426638,2024-10-07T00:00:00.000,09:40:00.000,1SCH3,Operational,0.75,0.14,0,0,0.66
202426660,2024-10-07T00:00:00.000,10:13:00.000,1S03B,Operational,0.55,0.15,0,0,0.6
202426643,2024-10-07T00:00:00.000,09:46:00.000,23450,Compliance,0.17,0.59,0,0,
202426640,2024-10-07T00:00:00.000,09:43:00.000,1SCL1,Operational,0.73,0.17,0,0,0.6
202426627,2024-10-07T00:00:00.000,09:08:00.000,3SC26,Operational,0.73,0.13,0,0,
202426661,2024-10-07T00:00:00.000,11:02:00.000,40200,Operational,0.72,0.74,0,0,
202426663,2024-10-07T00:00:00.000,08:38:00.000,43250,Compliance,0.55,0.63,0,0,
202426652,2024-10-07T00:00:00.000,09:16:00.000,44350,Compliance,0.5,0.67,0,0,
202426664,2024-10-07T00:00:00.000,09:44:00.000,45250,Compliance,0.15,0.64,0,0,
202426665,2024-10-07T00:00:00.000,09:09:00.000,45700,Operational,0.57,0.77,0,0,
202426662,2024-10-07T00:00:00.000,11:46:00.000,46850,Compliance,0.65,0.62,0,0,
202426666,2024-10-07T00:00:00.000,11:27:00.000,48600,Operational,0.54,0.79,0,0,
202426675,2024-10-07T00:00:00.000,11:43:00.000,50200,Operational,0.67,0.63,0,0,
202426676,2024-10-07T00:00:00.000,11:23:00.000,50250,Compliance,0.59,0.71,0,0,
202426677,2024-10-07T00:00:00.000,11:04:00.000,50300,Operational,0.67,0.71,0,0,
202426678,2024-10-07T00:00:00.000,10:13:00.000,52050,Compliance,0.2,0.65,0,0,
202426679,2024-10-07T00:00:00.000,09:15:00.000,58600,Operational,0.63,0.68,0,0,
202426646,2024-10-07T00:00:00.000,12:46:00.000,24350,Compliance,0.45,0.79,0,0,
202426650,2024-10-07T00:00:00.000,11:52:00.000,25400,Operational,0.61,0.6,0,0,
202426673,2024-10-07T00:00:00.000,08:31:00.000,38250,Compliance,0.31,0.45,0,0,
202426674,2024-10-07T00:00:00.000,09:07:00.000,39650,Compliance,0.22,0.56,0,0,
202426782,2024-10-08T00:00:00.000,09:41:00.000,10250,Compliance,0.61,0.68,0,0,
202426783,2024-10-08T00:00:00.000,11:26:00.000,11350,Compliance,0.51,0.55,0,0,
202426784,2024-10-08T00:00:00.000,10:46:00.000,13700,Operational,0.87,0.2,0,0,
202426785,2024-10-08T00:00:00.000,10:15:00.000,14350,Compliance,0.56,0.68,0,0,
202426751,2024-10-08T00:00:00.000,10:07:00.000,15450,Compliance,0.73,0.14,0,0,
202426752,2024-10-08T00:00:00.000,10:34:00.000,17450,Compliance,0.4,0.21,0,0,
202426770,2024-10-08T00:00:00.000,09:53:00.000,1S03,Operational,0.81,0.63,0,0,0.76
202426754,2024-10-08T00:00:00.000,08:38:00.000,1S03A,Operational,0.85,0.73,0,0,0.74
202426755,2024-10-08T00:00:00.000,09:04:00.000,1S03B,Operational,0.63,0.17,0,0,0.62
202426786,2024-10-08T00:00:00.000,09:03:00.000,1S07,Operational,0.61,0.73,0,0,
202426771,2024-10-08T00:00:00.000,10:18:00.000,1SCH3,Operational,0.75,0.16,0,0,0.69
202426773,2024-10-08T00:00:00.000,10:30:00.000,1SCL1,Operational,0.86,0.25,0,0,0.62
202426730,2024-10-08T00:00:00.000,08:42:00.000,20900,Operational,0.43,0.59,0,0,
202426731,2024-10-08T00:00:00.000,09:09:00.000,20950,Compliance,0.21,0.51,0,0,
202426720,2024-10-08T00:00:00.000,08:44:00.000,22650,Compliance,0.48,0.57,0,0,
202426721,2024-10-08T00:00:00.000,09:37:00.000,23000,Operational,0.32,0.59,0,0,
202426668,2024-10-07T00:00:00.000,11:06:00.000,79450,Compliance,0.43,0.69,0,0,
202426723,2024-10-08T00:00:00.000,10:43:00.000,24550,Compliance,0.4,0.6,0,0,
202426732,2024-10-08T00:00:00.000,09:43:00.000,26700,Operational,0.54,0.62,0,0,
202426733,2024-10-08T00:00:00.000,08:08:00.000,27000,Operational,0.67,0.79,0,0,
202426724,2024-10-08T00:00:00.000,10:06:00.000,27450,Compliance,0.46,0.61,0,0,
202426725,2024-10-08T00:00:00.000,11:54:00.000,27650,Compliance,0.38,0.6,0,0,
202426427,2024-10-04T00:00:00.000,07:59:00.000,40550,Compliance,0.3,0.48,0,0,
202426374,2024-10-04T00:00:00.000,11:01:00.000,50300,Operational,0.71,0.61,0,0,
202426765,2024-10-08T00:00:00.000,10:22:00.000,35550,Compliance,0.47,0.61,0,0,
202426766,2024-10-08T00:00:00.000,11:25:00.000,36100,Operational,0.5,0.56,0,0,
202426767,2024-10-08T00:00:00.000,09:43:00.000,37950,Compliance,0.24,0.45,0,0,
202426768,2024-10-08T00:00:00.000,12:02:00.000,38150,Compliance,0.41,0.53,0,0,
202426769,2024-10-08T00:00:00.000,12:26:00.000,39550,Compliance,0.36,0.49,0,0,
202426787,2024-10-08T00:00:00.000,08:33:00.000,3SC26,Operational,0.78,0.14,0,0,
202426756,2024-10-08T00:00:00.000,11:26:00.000,40200,Operational,0.77,0.75,0,0,
202426734,2024-10-08T00:00:00.000,11:00:00.000,40600,Operational,0.73,0.82,0,0,
202426735,2024-10-08T00:00:00.000,10:33:00.000,41050,Compliance,0.61,0.86,0,0,
202426714,2024-10-08T00:00:00.000,09:15:00.000,42150,Compliance,0.05,0.54,0,0,
202426722,2024-10-08T00:00:00.000,11:11:00.000,24450,Compliance,0.27,0.57,0,0,
202426715,2024-10-08T00:00:00.000,11:28:00.000,42700,Operational,0.41,0.61,0,0,
202426716,2024-10-08T00:00:00.000,09:59:00.000,43150,Compliance,0.58,0.68,0,0,
202426717,2024-10-08T00:00:00.000,08:03:00.000,46350,Compliance,0.34,0.65,0,0,
202426708,2024-10-08T00:00:00.000,11:45:00.000,50300,Operational,0.76,0.73,0,0,
202426707,2024-10-08T00:00:00.000,11:18:00.000,50200,Operational,0.66,0.85,0,0,
202426709,2024-10-08T00:00:00.000,10:57:00.000,50600,Operational,0.54,0.62,0,0,
202426841,2024-10-09T00:00:00.000,10:10:00.000,15050,Compliance,0.63,0.62,0,0,
202426764,2024-10-08T00:00:00.000,13:00:00.000,33100,Operational,0.71,0.14,0,0,
202426713,2024-10-08T00:00:00.000,08:32:00.000,41650,Compliance,0.87,0.74,0,0,
202426711,2024-10-08T00:00:00.000,09:29:00.000,50850,Compliance,0.26,0.58,0,0,
202426710,2024-10-08T00:00:00.000,10:07:00.000,50750,Compliance,0.02,0.47,0,0,
202426718,2024-10-08T00:00:00.000,12:10:00.000,76450,Compliance,0.59,0.69,0,0,
202426712,2024-10-08T00:00:00.000,09:03:00.000,52150,Compliance,0.56,0.6,0,0,
202426882,2024-10-09T00:00:00.000,09:20:00.000,10150,Compliance,0.46,0.4,0,0,
202426883,2024-10-09T00:00:00.000,10:03:00.000,11750,Compliance,0.2,0.31,0,0,
202426719,2024-10-08T00:00:00.000,10:41:00.000,78550,Compliance,0.2,0.62,0,0,
202426884,2024-10-09T00:00:00.000,10:37:00.000,12150,Compliance,0.82,0.7,0,0,
202426763,2024-10-08T00:00:00.000,08:56:00.000,32350,Compliance,0.38,0.28,0,0,
202426840,2024-10-09T00:00:00.000,09:31:00.000,14000,Operational,0.68,0.71,0,0,
202426842,2024-10-09T00:00:00.000,10:55:00.000,18500,Operational,0.64,0.68,0,0,
202426887,2024-10-09T00:00:00.000,10:52:00.000,1S03A,Operational,0.87,0.68,0,0,0.75
202426829,2024-10-09T00:00:00.000,10:51:00.000,1S03,Operational,0.8,0.64,0,0,0.74
202426830,2024-10-09T00:00:00.000,10:17:00.000,1S03B,Operational,0.59,0.16,0,0,0.61
202426843,2024-10-09T00:00:00.000,11:18:00.000,1S07,Operational,0.68,0.63,0,0,
202426833,2024-10-09T00:00:00.000,11:25:00.000,1SCL1,Operational,0.8,0.26,0,0,0.6
202426834,2024-10-09T00:00:00.000,10:00:00.000,20900,Operational,0.43,0.63,0,0,
202426858,2024-10-09T00:00:00.000,11:49:00.000,21900,Operational,0.49,0.68,0,0,
202426831,2024-10-09T00:00:00.000,11:19:00.000,1SCH3,Operational,0.81,0.15,0,0,0.66
202426859,2024-10-09T00:00:00.000,10:17:00.000,23850,Compliance,0.67,0.67,0,0,
202426846,2024-10-09T00:00:00.000,08:29:00.000,25150,Compliance,0.51,0.68,0,0,
202426860,2024-10-09T00:00:00.000,12:17:00.000,26750,Compliance,0.41,0.67,0,0,
202426847,2024-10-09T00:00:00.000,09:43:00.000,27000,Operational,0.62,0.71,0,0,
202426861,2024-10-09T00:00:00.000,11:08:00.000,27550,Compliance,0.32,0.71,0,0,
202426848,2024-10-09T00:00:00.000,09:09:00.000,27600,Operational,0.41,0.66,0,0,
202426849,2024-10-09T00:00:00.000,10:22:00.000,27850,Compliance,0.39,0.67,0,0,
202426862,2024-10-09T00:00:00.000,09:43:00.000,29050,Compliance,0.59,0.71,0,0,
